TIME,APPLS_CUR_CONS,APPLS_IN_DB2
2017-12-12 22:40:02,125,1
2017-12-12 22:50:02,125,2
2017-12-12 23:00:02,127,2
2017-12-12 23:10:01,123,1
2017-12-12 23:20:02,122,1
2017-12-12 23:30:02,124,3
2017-12-12 23:40:02,122,1
2017-12-12 23:50:02,124,2
2017-12-13 00:00:01,125,2
2017-12-13 00:10:02,122,1
2017-12-13 00:20:02,122,1
2017-12-13 00:30:02,125,3
2017-12-13 00:40:02,122,1
2017-12-13 00:50:02,124,2
2017-12-13 01:00:02,121,2
2017-12-13 01:10:02,124,1
2017-12-13 01:20:02,122,1
2017-12-13 01:30:02,124,4
2017-12-13 01:40:02,124,2
2017-12-13 01:50:02,124,2
2017-12-13 02:00:02,125,3
2017-12-13 02:10:02,122,1
2017-12-13 02:20:01,124,1
2017-12-13 02:30:02,123,2
2017-12-13 02:40:02,125,3
2017-12-13 02:50:02,125,2
2017-12-13 03:00:02,124,3
2017-12-13 03:10:01,125,2
2017-12-13 03:20:01,123,1
2017-12-13 03:30:02,122,4
2017-12-13 03:40:02,120,2
2017-12-13 03:50:02,122,4
2017-12-13 04:00:02,120,1
2017-12-13 04:10:02,120,2
2017-12-13 04:20:02,121,2
2017-12-13 04:30:02,121,1
2017-12-13 04:40:01,121,2
2017-12-13 04:50:01,121,1
2017-12-13 05:00:01,124,3
2017-12-13 05:10:01,122,1
2017-12-13 05:20:01,122,1
2017-12-13 05:30:01,121,2
2017-12-13 05:40:01,122,1
2017-12-13 05:50:01,120,1
2017-12-13 06:00:01,123,3
2017-12-13 06:10:01,121,2
2017-12-13 06:20:01,121,3
2017-12-13 06:30:01,122,2
2017-12-13 06:40:01,121,2
2017-12-13 06:50:01,121,1
2017-12-13 07:00:01,122,2
2017-12-13 07:10:01,122,1
2017-12-13 07:20:01,121,1
2017-12-13 07:30:01,121,1
2017-12-13 07:40:01,120,1
2017-12-13 07:50:01,121,2
2017-12-13 08:00:02,123,3
2017-12-13 08:10:02,122,3
2017-12-13 08:20:02,119,1
2017-12-13 08:30:01,123,5
2017-12-13 08:40:02,121,3
2017-12-13 08:50:01,124,4
2017-12-13 09:00:02,128,9
2017-12-13 09:10:02,131,10
2017-12-13 09:20:01,146,5
2017-12-13 09:30:01,149,8
2017-12-13 09:40:01,162,9
2017-12-13 09:50:02,172,10
2017-12-13 10:00:02,170,10
2017-12-13 10:10:01,186,13
2017-12-13 10:20:01,203,16
2017-12-13 10:30:01,208,33
2017-12-13 10:40:01,280,21
2017-12-13 10:50:02,299,35
2017-12-13 11:00:01,278,14
2017-12-13 11:10:01,247,26
2017-12-13 11:20:01,274,20
2017-12-13 11:30:01,374,18
2017-12-13 11:40:02,376,17
2017-12-13 11:50:02,376,11
2017-12-13 12:00:02,335,3
2017-12-13 12:10:02,281,9
2017-12-13 12:20:02,173,5
2017-12-13 12:30:02,175,7
2017-12-13 12:40:02,171,5
2017-12-13 12:50:02,170,4
2017-12-13 13:00:02,159,5
2017-12-13 13:10:02,166,6
2017-12-13 13:20:01,194,10
2017-12-13 13:30:01,193,15
2017-12-13 13:40:01,209,10
2017-12-13 13:50:01,213,13
2017-12-13 14:00:01,224,14
2017-12-13 14:10:01,229,14
2017-12-13 14:20:01,218,16
2017-12-13 14:30:01,277,20
2017-12-13 14:40:01,279,16
2017-12-13 14:50:01,279,20
2017-12-13 15:00:01,239,11
2017-12-13 15:10:01,219,12
2017-12-13 15:20:01,183,10
2017-12-13 15:30:01,186,9
2017-12-13 15:40:01,193,9
2017-12-13 15:50:01,194,11
2017-12-13 16:00:01,183,5
2017-12-13 16:10:02,207,10
2017-12-13 16:20:02,185,16
2017-12-13 16:30:02,251,6
2017-12-13 16:40:02,252,13
2017-12-13 16:50:02,252,15
2017-12-13 17:00:01,240,11
2017-12-13 17:10:02,233,7
2017-12-13 17:20:02,167,5
2017-12-13 17:30:01,204,8
2017-12-13 17:40:01,207,8
2017-12-13 17:50:02,213,9
2017-12-13 18:00:02,208,5
2017-12-13 18:10:02,204,9
2017-12-13 18:20:02,155,4
2017-12-13 18:30:02,151,3
2017-12-13 18:40:02,149,3
2017-12-13 18:50:02,148,4
2017-12-13 19:00:02,138,7
2017-12-13 19:10:02,135,3
2017-12-13 19:20:01,124,3
2017-12-13 19:30:01,122,1
2017-12-13 19:40:01,127,3
2017-12-13 19:50:02,126,2
2017-12-13 20:00:02,129,3
2017-12-13 20:10:02,128,4
2017-12-13 20:20:01,129,2
2017-12-13 20:30:02,129,4
2017-12-13 20:40:02,127,3
2017-12-13 20:50:02,128,2
2017-12-13 21:00:02,127,3
2017-12-13 21:10:02,128,2
